sub_exp	item_number	cond	item
1	1	a	dass der Peter den Hans mag.
1	1	b	dass den Hans der Peter mag. 
1	1	c	dass der Peter sicherlich den Hans mag.
1	1	d	dass den Hans sicherlich der Peter mag. 
1	2	a	dass die Frau den Bäcker liebt. 
1	2	b	dass den Bäcker die Frau liebt. 
1	2	c	dass die Frau sicherlich den Bäcker liebt. 
1	2	d	dass den Bäcker sicherlich die Frau liebt. 
1	3	a	dass das Auto den Fahrer ärgert. 
1	3	b	dass den Fahrer das Auto ärgert.
1	3	d	dass den Fahrer sicherlich das Auto ärgert.  
1	4	a	dass der Vater den Hund tritt. 
1	4	b	dass den Hund der Vater tritt.
1	4	c	dass der Vater sicherlich den Hund tritt. 
1	4	d	dass den Hund sicherlich der Vater tritt.
2	1	a	Das Essen riechte lecker.  
2	2	a	Das Lied schlagte wie eine Bombe ein.  
2	3	a	Das Sicherheitsnetz fangte den Akrobaten auf.  
2	4	a	Das Wunder geschehte an Weihnachten.  
2	5	a	Der Baum werfte seine Blätter ab.  
2	6	a	Der Ehemann sprechte den Streit an.  
2	7	a	Der Hubschrauber fliegte über die Alpen.  
2	8	a	Der Mond bleibte hinter den Wolken.  
2	9	a	Der Sessel stehte an der Wand.  
2	10	a	Die Apothekerin treffte eine folgenschwere Entscheidung.  
2	11	a	Die Blume lasste den Kopf hängen.  
2	12	a	Die Krankenschwester verlierte die Medikamente.  
2	13	a	Die neue Maschine laufte einwandfrei.  
2	14	a	Die Tochter tragte den Einkauf nach Hause.  
2	15	a	Das Baby schlafte schnell ein.  
2	16	a	Das Wetter ratete zu Regenklamotten.  
2	17	a	Der Bagger grabte das Loch.  
2	18	a	Der Berg messte 500 Meter.  
2	19	a	Der Chef nehmte sich eine Auszeit.  
2	20	a	Der Hausmeister sehte sich einen Film an.  
2	21	a	Der Opa helfte seinem Enkel auf's Fahrrad.  
2	22	a	Der Rock sitzte gut.  
2	23	a	Die Glocke klingte schön.  
2	24	a	Die Lava entspringte dem Vulkan.  
3	1	a	Das Fahrrad tut schnell fahren.  
3	2	a	Das Mädchen tut ein neues Kleid tragen.  
3	3	a	Das Radio tut laute Musik spielen.  
3	4	a	Das Tuch tut im Wind wehen  
3	5	a	Das Weinglas tut auf den Boden fallen.  
3	6	a	Der Anwalt tut einen Kaffee trinken.  
3	7	a	Der Bankautomat tut das Geld ausgeben.  
3	8	a	Der Computer tut herunterfahren.  
3	9	a	Der Hamster tut in seinem Rad laufen.  
3	10	a	Der Hund tut mit dem Schwanz wedeln.  
3	11	a	Der Koch tut die Suppe versalzen.  
3	12	a	Der Laster tut die Straße versperren.  
3	13	a	Der Ofen tut das Essen garen.  
3	14	a	Der Regenschirm tut das Wasser schlecht abhalten.  
3	15	a	Der Rock tut gut aussehen.  
3	16	a	Der Schnee tut den Winter bestätigen.  
3	17	a	Der Stuhl tut zusammenklappen.  
3	18	a	Der Wecker tut laut klingeln.  
3	19	a	Die Diskokugel tut hell leuchten.  
3	20	a	Die Heizung tut den Raum nur langsam wärmen.  
3	21	a	Die Kanne tut den Tee warm halten.  
3	22	a	Die Maus tut ein Stück Käse essen.  
3	23	a	Die Pianistin tut ein neues Klavier kaufen.  
3	24	a	Die Kette tut schön glänzen. 
